Task ID,Task Description,Deadline,Priority,Assigned User,User Workload,Past Task Behavior,Category,Status,Time Taken (hours),deadline_days_remaining,task_length,has_keyword_urgent,is_weekend_deadline,user_current_load,past_behavior_score,category_encoded,status_encoded,priority_encoded,Predicted Priority
T0282,Deploy hotfix for customer complaints,2025-06-08,High,User_10,10,delayed,Management,Pending,0.0,11.0,5.0,0.0,1.0,,,4.0,2.0,0.0,1
T0296,Patch security vulnerability in auth system,2025-06-07,High,User_2,6,on-time,Development,Completed,10.1,10.0,6.0,0.0,1.0,,,2.0,0.0,0.0,0
T0158,Update user guides,2025-06-06,Medium,User_2,5,on-time,Management,In Progress,0.0,9.0,3.0,0.0,0.0,,,4.0,1.0,2.0,2
T0239,Resolve payment gateway timeout issue,2025-05-31,High,User_4,7,delayed,Testing,Pending,0.0,3.0,5.0,0.0,1.0,,,5.0,2.0,0.0,2
T0018,Organize shared team files,2025-06-01,Low,User_10,10,on-time,Management,Completed,2.4,4.0,4.0,0.0,1.0,,,4.0,0.0,1.0,2
T0165,Create UI wireframes for feature,2025-06-06,Medium,User_2,8,on-time,DevOps,In Progress,0.0,9.0,5.0,0.0,0.0,,,1.0,1.0,2.0,2
T0034,Update internal documentation,2025-06-03,Low,User_7,5,on-time,Development,Completed,2.9,6.0,3.0,0.0,0.0,,,2.0,0.0,1.0,2
T0025,Update internal documentation,2025-06-08,Low,User_10,2,delayed,Management,Completed,2.8,11.0,3.0,0.0,1.0,,,4.0,0.0,1.0,2
T0216,Fix critical bug in deployment pipeline,2025-06-08,High,User_10,1,delayed,Testing,Completed,2.4,11.0,6.0,1.0,1.0,,,5.0,0.0,0.0,0
T0120,Review peer pull requests,2025-05-29,Medium,User_1,10,on-time,DevOps,Pending,0.0,1.0,4.0,0.0,0.0,,,1.0,2.0,2.0,2
T0008,Send status update to manager,2025-05-29,Low,User_8,8,on-time,DevOps,Completed,9.3,1.0,5.0,0.0,0.0,,,1.0,0.0,1.0,2
T0091,Clean up old logs from server,2025-05-29,Low,User_1,6,delayed,Documentation,Completed,5.0,1.0,6.0,0.0,0.0,,,3.0,0.0,1.0,0
T0047,Send status update to manager,2025-06-07,Low,User_1,1,on-time,Design,Pending,0.0,10.0,5.0,0.0,1.0,,,0.0,2.0,1.0,2
T0074,Clean up old logs from server,2025-06-08,Low,User_8,4,on-time,Documentation,Completed,11.3,11.0,6.0,0.0,1.0,,,3.0,0.0,1.0,1
T0094,Clean up old logs from server,2025-06-09,Low,User_3,5,late,Testing,In Progress,0.0,12.0,6.0,0.0,0.0,,,5.0,1.0,1.0,1
T0077,Clean up old logs from server,2025-06-04,Low,User_9,6,on-time,Design,Pending,0.0,7.0,6.0,0.0,0.0,,,0.0,2.0,1.0,1
T0287,Deploy hotfix for customer complaints,2025-06-03,High,User_2,3,on-time,Documentation,Completed,8.9,6.0,5.0,0.0,0.0,,,3.0,0.0,0.0,2
T0061,Schedule weekly team sync,2025-06-02,Low,User_6,7,delayed,Management,In Progress,0.0,5.0,4.0,0.0,0.0,,,4.0,1.0,1.0,2
T0078,Organize shared team files,2025-06-05,Low,User_9,3,late,Management,Pending,0.0,8.0,4.0,0.0,0.0,,,4.0,2.0,1.0,2
T0064,Clean up old logs from server,2025-06-07,Low,User_7,5,delayed,Development,Completed,6.8,10.0,6.0,0.0,1.0,,,2.0,0.0,1.0,0
T0235,Restore database from backup,2025-05-26,High,User_9,5,delayed,DevOps,Completed,4.9,-2.0,4.0,0.0,0.0,,,1.0,0.0,0.0,2
T0230,Deploy hotfix for customer complaints,2025-05-28,High,User_5,2,delayed,Testing,Completed,4.6,0.0,5.0,0.0,0.0,,,5.0,0.0,0.0,2
T0112,Write integration tests for API,2025-06-01,Medium,User_5,5,on-time,Management,Pending,0.0,4.0,5.0,0.0,1.0,,,4.0,2.0,2.0,2
T0232,Resolve payment gateway timeout issue,2025-06-02,High,User_7,6,on-time,Development,Completed,2.2,5.0,5.0,0.0,0.0,,,2.0,0.0,0.0,2
T0181,Refactor module for scalability,2025-06-09,Medium,User_3,1,late,Testing,Completed,4.8,12.0,4.0,0.0,0.0,,,5.0,0.0,2.0,2
T0145,Refactor module for scalability,2025-06-05,Medium,User_3,8,delayed,DevOps,Completed,3.2,8.0,4.0,0.0,0.0,,,1.0,0.0,2.0,2
T0240,Deploy hotfix for customer complaints,2025-06-02,High,User_1,3,on-time,Development,Completed,4.6,5.0,5.0,0.0,0.0,,,2.0,0.0,0.0,2
T0076,Organize shared team files,2025-05-31,Low,User_2,9,late,Development,Completed,9.2,3.0,4.0,0.0,1.0,,,2.0,0.0,1.0,2
T0298,Deploy hotfix for customer complaints,2025-06-01,High,User_1,9,on-time,Documentation,In Progress,0.0,4.0,5.0,0.0,1.0,,,3.0,1.0,0.0,2
T0279,Deploy hotfix for customer complaints,2025-05-26,High,User_5,6,delayed,Development,In Progress,0.0,-2.0,5.0,0.0,0.0,,,2.0,1.0,0.0,2
T0098,Update internal documentation,2025-06-07,Low,User_8,1,late,Documentation,In Progress,0.0,10.0,3.0,0.0,1.0,,,3.0,1.0,1.0,2
T0093,Schedule weekly team sync,2025-06-08,Low,User_6,1,delayed,Design,Pending,0.0,11.0,4.0,0.0,1.0,,,0.0,2.0,1.0,2
T0193,Refactor module for scalability,2025-05-27,Medium,User_9,3,late,Documentation,Pending,0.0,-1.0,4.0,0.0,0.0,,,3.0,2.0,2.0,2
T0026,Schedule weekly team sync,2025-05-31,Low,User_8,2,on-time,Design,In Progress,0.0,3.0,4.0,0.0,1.0,,,0.0,1.0,1.0,2
T0233,Fix critical bug in deployment pipeline,2025-06-06,High,User_7,3,delayed,Testing,Completed,11.0,9.0,6.0,1.0,0.0,,,5.0,0.0,0.0,0
T0060,Send status update to manager,2025-06-09,Low,User_8,10,on-time,Development,In Progress,0.0,12.0,5.0,0.0,0.0,,,2.0,1.0,1.0,2
T0007,Update internal documentation,2025-05-29,Low,User_4,8,on-time,Design,Completed,5.5,1.0,3.0,0.0,0.0,,,0.0,0.0,1.0,2
T0186,Write integration tests for API,2025-05-26,Medium,User_5,9,delayed,DevOps,Completed,2.2,-2.0,5.0,0.0,0.0,,,1.0,0.0,2.0,2
T0174,Write integration tests for API,2025-05-29,Medium,User_9,8,on-time,Development,Completed,8.2,1.0,5.0,0.0,0.0,,,2.0,0.0,2.0,2
T0031,Schedule weekly team sync,2025-06-01,Low,User_3,6,delayed,Development,Completed,7.5,4.0,4.0,0.0,1.0,,,2.0,0.0,1.0,2
T0023,Send status update to manager,2025-06-09,Low,User_4,10,delayed,Testing,Pending,0.0,12.0,5.0,0.0,0.0,,,5.0,2.0,1.0,1
T0257,Resolve payment gateway timeout issue,2025-06-01,High,User_5,1,late,Management,Completed,2.3,4.0,5.0,0.0,1.0,,,4.0,0.0,0.0,2
T0057,Organize shared team files,2025-06-07,Low,User_8,3,delayed,Testing,In Progress,0.0,10.0,4.0,0.0,1.0,,,5.0,1.0,1.0,2
T0187,Write integration tests for API,2025-06-07,Medium,User_8,8,late,Testing,Pending,0.0,10.0,5.0,0.0,1.0,,,5.0,2.0,2.0,2
T0109,Write integration tests for API,2025-06-08,Medium,User_4,10,on-time,Development,In Progress,0.0,11.0,5.0,0.0,1.0,,,2.0,1.0,2.0,2
T0127,Review peer pull requests,2025-06-05,Medium,User_2,7,late,Development,Completed,11.9,8.0,4.0,0.0,0.0,,,2.0,0.0,2.0,2
T0231,Patch security vulnerability in auth system,2025-06-04,High,User_6,2,on-time,DevOps,Completed,4.8,7.0,6.0,0.0,0.0,,,1.0,0.0,0.0,0
T0194,Create UI wireframes for feature,2025-06-09,Medium,User_1,2,late,DevOps,Pending,0.0,12.0,5.0,0.0,0.0,,,1.0,2.0,2.0,2
T0130,Write integration tests for API,2025-05-29,Medium,User_6,8,late,Design,Pending,0.0,1.0,5.0,0.0,0.0,,,0.0,2.0,2.0,2
T0283,Deploy hotfix for customer complaints,2025-06-07,High,User_2,10,on-time,Management,In Progress,0.0,10.0,5.0,0.0,1.0,,,4.0,1.0,0.0,1
T0083,Clean up old logs from server,2025-06-06,Low,User_8,4,delayed,Design,Pending,0.0,9.0,6.0,0.0,0.0,,,0.0,2.0,1.0,1
T0085,Organize shared team files,2025-06-07,Low,User_5,8,delayed,DevOps,Pending,0.0,10.0,4.0,0.0,1.0,,,1.0,2.0,1.0,2
T0067,Schedule weekly team sync,2025-05-29,Low,User_7,5,delayed,Management,Completed,10.4,1.0,4.0,0.0,0.0,,,4.0,0.0,1.0,2
T0289,Fix critical bug in deployment pipeline,2025-06-01,High,User_2,8,delayed,DevOps,Pending,0.0,4.0,6.0,1.0,1.0,,,1.0,2.0,0.0,1
T0164,Create UI wireframes for feature,2025-05-29,Medium,User_7,6,late,DevOps,In Progress,0.0,1.0,5.0,0.0,0.0,,,1.0,1.0,2.0,2
T0155,Refactor module for scalability,2025-06-03,Medium,User_9,3,delayed,Documentation,In Progress,0.0,6.0,4.0,0.0,0.0,,,3.0,1.0,2.0,2
T0020,Update internal documentation,2025-06-06,Low,User_3,7,late,Development,Pending,0.0,9.0,3.0,0.0,0.0,,,2.0,2.0,1.0,2
T0125,Create UI wireframes for feature,2025-06-04,Medium,User_7,9,delayed,DevOps,In Progress,0.0,7.0,5.0,0.0,0.0,,,1.0,1.0,2.0,2
T0080,Update internal documentation,2025-06-06,Low,User_7,8,on-time,Management,Pending,0.0,9.0,3.0,0.0,0.0,,,4.0,2.0,1.0,2
T0115,Update user guides,2025-06-09,Medium,User_4,9,delayed,Design,In Progress,0.0,12.0,3.0,0.0,0.0,,,0.0,1.0,2.0,2
T0119,Write integration tests for API,2025-06-07,Medium,User_2,9,late,Documentation,Pending,0.0,10.0,5.0,0.0,1.0,,,3.0,2.0,2.0,2
T0073,Organize shared team files,2025-06-08,Low,User_5,10,on-time,Development,Pending,0.0,11.0,4.0,0.0,1.0,,,2.0,2.0,1.0,2
T0016,Organize shared team files,2025-05-28,Low,User_3,2,late,Documentation,Pending,0.0,0.0,4.0,0.0,0.0,,,3.0,2.0,1.0,2
T0011,Schedule weekly team sync,2025-06-04,Low,User_4,6,delayed,Design,Pending,0.0,7.0,4.0,0.0,0.0,,,0.0,2.0,1.0,2
T0195,Refactor module for scalability,2025-06-03,Medium,User_7,9,late,DevOps,Completed,2.0,6.0,4.0,0.0,0.0,,,1.0,0.0,2.0,2
T0102,Write integration tests for API,2025-06-08,Medium,User_1,9,late,Development,Completed,8.4,11.0,5.0,0.0,1.0,,,2.0,0.0,2.0,2
T0069,Update internal documentation,2025-06-04,Low,User_6,10,delayed,Documentation,Pending,0.0,7.0,3.0,0.0,0.0,,,3.0,2.0,1.0,2
T0225,Restore database from backup,2025-06-08,High,User_7,2,delayed,Documentation,Completed,9.1,11.0,4.0,0.0,1.0,,,3.0,0.0,0.0,2
T0038,Organize shared team files,2025-05-28,Low,User_2,3,late,Design,Completed,12.0,0.0,4.0,0.0,0.0,,,0.0,0.0,1.0,2
T0017,Clean up old logs from server,2025-05-30,Low,User_5,8,on-time,Design,In Progress,0.0,2.0,6.0,0.0,0.0,,,0.0,1.0,1.0,1
T0180,Create UI wireframes for feature,2025-05-28,Medium,User_10,1,late,Testing,Completed,9.5,0.0,5.0,0.0,0.0,,,5.0,0.0,2.0,2
T0148,Update user guides,2025-05-28,Medium,User_5,8,delayed,Documentation,Pending,0.0,0.0,3.0,0.0,0.0,,,3.0,2.0,2.0,2
T0275,Resolve payment gateway timeout issue,2025-06-04,High,User_4,5,delayed,Development,Completed,4.8,7.0,5.0,0.0,0.0,,,2.0,0.0,0.0,2
T0068,Schedule weekly team sync,2025-06-07,Low,User_4,6,delayed,Design,Completed,3.9,10.0,4.0,0.0,1.0,,,0.0,0.0,1.0,2
T0229,Fix critical bug in deployment pipeline,2025-06-07,High,User_6,6,delayed,Management,Completed,1.7,10.0,6.0,1.0,1.0,,,4.0,0.0,0.0,0
T0070,Update internal documentation,2025-05-31,Low,User_6,6,on-time,Management,In Progress,0.0,3.0,3.0,0.0,1.0,,,4.0,1.0,1.0,2
T0032,Send status update to manager,2025-05-29,Low,User_6,7,on-time,Design,Completed,3.6,1.0,5.0,0.0,0.0,,,0.0,0.0,1.0,2
T0184,Create UI wireframes for feature,2025-06-07,Medium,User_1,5,delayed,Design,In Progress,0.0,10.0,5.0,0.0,1.0,,,0.0,1.0,2.0,2
T0266,Patch security vulnerability in auth system,2025-05-27,High,User_6,5,delayed,Design,Completed,5.2,-1.0,6.0,0.0,0.0,,,0.0,0.0,0.0,1
T0226,Restore database from backup,2025-06-06,High,User_10,8,delayed,Documentation,In Progress,0.0,9.0,4.0,0.0,0.0,,,3.0,1.0,0.0,2
T0141,Write integration tests for API,2025-05-31,Medium,User_4,2,late,Testing,In Progress,0.0,3.0,5.0,0.0,1.0,,,5.0,1.0,2.0,2
T0019,Schedule weekly team sync,2025-06-07,Low,User_4,4,delayed,DevOps,Completed,10.2,10.0,4.0,0.0,1.0,,,1.0,0.0,1.0,2
T0182,Refactor module for scalability,2025-06-02,Medium,User_9,2,late,Testing,Pending,0.0,5.0,4.0,0.0,0.0,,,5.0,2.0,2.0,2
T0097,Clean up old logs from server,2025-05-31,Low,User_1,3,on-time,Management,Completed,4.2,3.0,6.0,0.0,1.0,,,4.0,0.0,1.0,0
T0133,Update user guides,2025-06-06,Medium,User_10,4,delayed,Documentation,In Progress,0.0,9.0,3.0,0.0,0.0,,,3.0,1.0,2.0,2
T0263,Resolve payment gateway timeout issue,2025-06-09,High,User_5,8,late,Testing,Completed,4.3,12.0,5.0,0.0,0.0,,,5.0,0.0,0.0,2
T0087,Organize shared team files,2025-06-03,Low,User_1,8,delayed,Development,In Progress,0.0,6.0,4.0,0.0,0.0,,,2.0,1.0,1.0,2
T0249,Deploy hotfix for customer complaints,2025-06-04,High,User_6,7,delayed,DevOps,Completed,8.4,7.0,5.0,0.0,0.0,,,1.0,0.0,0.0,2
T0246,Patch security vulnerability in auth system,2025-05-26,High,User_4,3,delayed,Testing,Completed,11.1,-2.0,6.0,0.0,0.0,,,5.0,0.0,0.0,0
T0117,Update user guides,2025-06-02,Medium,User_6,6,delayed,Design,Completed,7.1,5.0,3.0,0.0,0.0,,,0.0,0.0,2.0,2
T0147,Create UI wireframes for feature,2025-05-26,Medium,User_8,4,late,Testing,Completed,7.9,-2.0,5.0,0.0,0.0,,,5.0,0.0,2.0,2
T0293,Deploy hotfix for customer complaints,2025-05-29,High,User_9,1,delayed,Development,In Progress,0.0,1.0,5.0,0.0,0.0,,,2.0,1.0,0.0,2
T0198,Create UI wireframes for feature,2025-06-05,Medium,User_8,8,delayed,Development,Pending,0.0,8.0,5.0,0.0,0.0,,,2.0,2.0,2.0,2
T0207,Resolve payment gateway timeout issue,2025-06-02,High,User_8,2,late,Development,Completed,8.1,5.0,5.0,0.0,0.0,,,2.0,0.0,0.0,0
T0056,Clean up old logs from server,2025-06-07,Low,User_1,3,on-time,DevOps,Pending,0.0,10.0,6.0,0.0,1.0,,,1.0,2.0,1.0,1
T0173,Update user guides,2025-05-26,Medium,User_2,5,late,Development,In Progress,0.0,-2.0,3.0,0.0,0.0,,,2.0,1.0,2.0,2
T0185,Write integration tests for API,2025-05-28,Medium,User_6,4,on-time,DevOps,In Progress,0.0,0.0,5.0,0.0,0.0,,,1.0,1.0,2.0,2
T0168,Refactor module for scalability,2025-06-04,Medium,User_1,1,on-time,Development,In Progress,0.0,7.0,4.0,0.0,0.0,,,2.0,1.0,2.0,2
T0140,Create UI wireframes for feature,2025-06-06,Medium,User_3,9,late,Documentation,In Progress,0.0,9.0,5.0,0.0,0.0,,,3.0,1.0,2.0,2
T0254,Patch security vulnerability in auth system,2025-06-06,High,User_7,1,delayed,Design,Pending,0.0,9.0,6.0,0.0,0.0,,,0.0,2.0,0.0,1
T0039,Send status update to manager,2025-06-07,Low,User_10,6,delayed,Development,In Progress,0.0,10.0,5.0,0.0,1.0,,,2.0,1.0,1.0,2
T0126,Review peer pull requests,2025-06-08,Medium,User_7,2,on-time,Development,Pending,0.0,11.0,4.0,0.0,1.0,,,2.0,2.0,2.0,2
T0196,Review peer pull requests,2025-06-03,Medium,User_2,9,delayed,DevOps,In Progress,0.0,6.0,4.0,0.0,0.0,,,1.0,1.0,2.0,2
T0284,Restore database from backup,2025-06-03,High,User_10,2,on-time,Development,Pending,0.0,6.0,4.0,0.0,0.0,,,2.0,2.0,0.0,2
T0138,Review peer pull requests,2025-06-09,Medium,User_5,10,late,Documentation,In Progress,0.0,12.0,4.0,0.0,0.0,,,3.0,1.0,2.0,2
T0113,Write integration tests for API,2025-05-31,Medium,User_5,9,delayed,Documentation,Completed,9.3,3.0,5.0,0.0,1.0,,,3.0,0.0,2.0,2
T0169,Review peer pull requests,2025-06-01,Medium,User_2,8,on-time,Management,Completed,1.9,4.0,4.0,0.0,1.0,,,4.0,0.0,2.0,2
T0118,Create UI wireframes for feature,2025-05-28,Medium,User_10,8,delayed,Development,Completed,4.1,0.0,5.0,0.0,0.0,,,2.0,0.0,2.0,2
T0278,Deploy hotfix for customer complaints,2025-05-28,High,User_7,7,late,Development,Completed,9.9,0.0,5.0,0.0,0.0,,,2.0,0.0,0.0,2
T0272,Resolve payment gateway timeout issue,2025-06-08,High,User_4,2,on-time,Management,Completed,3.6,11.0,5.0,0.0,1.0,,,4.0,0.0,0.0,0
T0156,Write integration tests for API,2025-05-30,Medium,User_5,9,on-time,Testing,Completed,11.1,2.0,5.0,0.0,0.0,,,5.0,0.0,2.0,2
T0177,Refactor module for scalability,2025-06-01,Medium,User_1,7,delayed,Design,In Progress,0.0,4.0,4.0,0.0,1.0,,,0.0,1.0,2.0,2
T0179,Create UI wireframes for feature,2025-06-04,Medium,User_3,10,delayed,Management,Completed,4.2,7.0,5.0,0.0,0.0,,,4.0,0.0,2.0,2
T0003,Clean up old logs from server,2025-06-04,Low,User_6,8,on-time,Documentation,Pending,0.0,7.0,6.0,0.0,0.0,,,3.0,2.0,1.0,1
T0116,Create UI wireframes for feature,2025-06-01,Medium,User_8,1,on-time,Design,Completed,10.6,4.0,5.0,0.0,1.0,,,0.0,0.0,2.0,2
T0144,Update user guides,2025-06-09,Medium,User_8,1,on-time,Testing,Pending,0.0,12.0,3.0,0.0,0.0,,,5.0,2.0,2.0,2
T0178,Update user guides,2025-06-03,Medium,User_5,5,delayed,Documentation,Completed,8.9,6.0,3.0,0.0,0.0,,,3.0,0.0,2.0,2
T0121,Create UI wireframes for feature,2025-06-06,Medium,User_7,4,late,Development,Completed,2.1,9.0,5.0,0.0,0.0,,,2.0,0.0,2.0,2
T0211,Patch security vulnerability in auth system,2025-05-27,High,User_3,2,on-time,Testing,Pending,0.0,-1.0,6.0,0.0,0.0,,,5.0,2.0,0.0,1
T0261,Restore database from backup,2025-06-08,High,User_9,6,on-time,Documentation,Pending,0.0,11.0,4.0,0.0,1.0,,,3.0,2.0,0.0,2
T0128,Review peer pull requests,2025-05-31,Medium,User_2,1,delayed,DevOps,In Progress,0.0,3.0,4.0,0.0,1.0,,,1.0,1.0,2.0,2
T0075,Schedule weekly team sync,2025-06-02,Low,User_3,2,late,Management,Pending,0.0,5.0,4.0,0.0,0.0,,,4.0,2.0,1.0,2
T0030,Send status update to manager,2025-05-28,Low,User_1,7,on-time,Management,In Progress,0.0,0.0,5.0,0.0,0.0,,,4.0,1.0,1.0,2
T0084,Clean up old logs from server,2025-05-28,Low,User_10,1,on-time,Design,In Progress,0.0,0.0,6.0,0.0,0.0,,,0.0,1.0,1.0,1
T0270,Patch security vulnerability in auth system,2025-06-07,High,User_7,10,on-time,Documentation,In Progress,0.0,10.0,6.0,0.0,1.0,,,3.0,1.0,0.0,1
T0108,Write integration tests for API,2025-06-07,Medium,User_5,5,on-time,Development,Pending,0.0,10.0,5.0,0.0,1.0,,,2.0,2.0,2.0,2
T0224,Restore database from backup,2025-06-07,High,User_10,2,on-time,Documentation,Pending,0.0,10.0,4.0,0.0,1.0,,,3.0,2.0,0.0,2
T0159,Write integration tests for API,2025-06-07,Medium,User_9,8,delayed,DevOps,Completed,10.4,10.0,5.0,0.0,1.0,,,1.0,0.0,2.0,2
T0281,Resolve payment gateway timeout issue,2025-05-30,High,User_9,2,late,Management,Pending,0.0,2.0,5.0,0.0,0.0,,,4.0,2.0,0.0,1
T0247,Fix critical bug in deployment pipeline,2025-06-07,High,User_8,7,late,Design,Pending,0.0,10.0,6.0,1.0,1.0,,,0.0,2.0,0.0,1
T0223,Resolve payment gateway timeout issue,2025-06-07,High,User_5,9,late,Documentation,Pending,0.0,10.0,5.0,0.0,1.0,,,3.0,2.0,0.0,2
T0066,Update internal documentation,2025-06-07,Low,User_10,3,on-time,Documentation,In Progress,0.0,10.0,3.0,0.0,1.0,,,3.0,1.0,1.0,2
T0199,Review peer pull requests,2025-05-30,Medium,User_6,5,delayed,DevOps,In Progress,0.0,2.0,4.0,0.0,0.0,,,1.0,1.0,2.0,2
T0086,Send status update to manager,2025-06-07,Low,User_5,10,late,DevOps,Pending,0.0,10.0,5.0,0.0,1.0,,,1.0,2.0,1.0,2
T0214,Patch security vulnerability in auth system,2025-06-08,High,User_5,8,delayed,Development,In Progress,0.0,11.0,6.0,0.0,1.0,,,2.0,1.0,0.0,1
T0160,Refactor module for scalability,2025-06-06,Medium,User_4,5,late,Testing,Completed,10.4,9.0,4.0,0.0,0.0,,,5.0,0.0,2.0,2
T0013,Send status update to manager,2025-06-05,Low,User_3,1,late,Management,Completed,6.6,8.0,5.0,0.0,0.0,,,4.0,0.0,1.0,2
T0036,Send status update to manager,2025-06-05,Low,User_6,3,delayed,Development,Completed,8.4,8.0,5.0,0.0,0.0,,,2.0,0.0,1.0,2
T0029,Send status update to manager,2025-06-03,Low,User_4,4,on-time,DevOps,In Progress,0.0,6.0,5.0,0.0,0.0,,,1.0,1.0,1.0,2
T0143,Refactor module for scalability,2025-06-05,Medium,User_1,8,delayed,Management,Pending,0.0,8.0,4.0,0.0,0.0,,,4.0,2.0,2.0,2
T0285,Resolve payment gateway timeout issue,2025-06-07,High,User_7,10,delayed,Testing,Completed,9.3,10.0,5.0,0.0,1.0,,,5.0,0.0,0.0,2
T0255,Restore database from backup,2025-06-09,High,User_7,5,on-time,Management,Completed,2.5,12.0,4.0,0.0,0.0,,,4.0,0.0,0.0,2
T0171,Update user guides,2025-05-29,Medium,User_10,1,delayed,DevOps,Pending,0.0,1.0,3.0,0.0,0.0,,,1.0,2.0,2.0,2
T0052,Update internal documentation,2025-05-29,Low,User_1,10,late,Management,In Progress,0.0,1.0,3.0,0.0,0.0,,,4.0,1.0,1.0,2
T0096,Clean up old logs from server,2025-06-08,Low,User_4,1,delayed,Testing,In Progress,0.0,11.0,6.0,0.0,1.0,,,5.0,1.0,1.0,1
T0209,Deploy hotfix for customer complaints,2025-05-27,High,User_6,9,on-time,Management,Completed,8.3,-1.0,5.0,0.0,0.0,,,4.0,0.0,0.0,2
T0248,Resolve payment gateway timeout issue,2025-05-30,High,User_2,6,late,Documentation,Completed,10.7,2.0,5.0,0.0,0.0,,,3.0,0.0,0.0,2
T0042,Clean up old logs from server,2025-05-26,Low,User_4,4,late,Design,In Progress,0.0,-2.0,6.0,0.0,0.0,,,0.0,1.0,1.0,1
T0090,Schedule weekly team sync,2025-05-31,Low,User_5,4,late,Testing,Pending,0.0,3.0,4.0,0.0,1.0,,,5.0,2.0,1.0,2
